job_id,resume_id,relevance,source
vanetik_vacancy_001,vanetik_cv_001,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_001,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_001,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_001,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_001,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_002,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_002,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_002,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_002,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_002,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_003,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_003,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_003,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_003,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_003,1,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_004,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_004,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_004,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_004,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_004,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_005,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_005,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_005,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_005,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_005,1,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_006,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_006,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_006,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_006,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_006,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_007,0,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_007,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_007,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_007,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_007,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_008,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_008,0,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_008,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_008,3,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_008,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_009,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_009,0,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_009,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_009,3,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_009,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_010,0,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_010,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_010,2,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_010,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_010,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_011,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_011,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_011,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_011,0,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_011,1,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_012,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_012,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_012,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_012,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_012,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_013,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_013,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_013,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_013,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_013,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_014,2,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_014,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_014,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_014,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_014,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_015,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_015,1,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_015,1,vacancy_resume_matching
vanetik_vacancy_004,vanetik_cv_015,1,vacancy_resume_matching
vanetik_vacancy_005,vanetik_cv_015,0,vacancy_resume_matching
vanetik_vacancy_001,vanetik_cv_016,1,vacancy_resume_matching
vanetik_vacancy_002,vanetik_cv_016,2,vacancy_resume_matching
vanetik_vacancy_003,vanetik_cv_016,1,vacancy_resume_matching
